classcombo,advantage,competency,Alcohol.Tolerance.Perk,Allundean,Archery,Armor.Making,Armor.Repair,Axe.Making,Backstab,Bandage,Bandage.Making,Bash,Basketweaving,Bendune,Better.Movement.Regeneration,Blind.Fighting,Blowgun.Use,Bludgeoning.Weapons,Bow.Making,Brew,Cavilish,Charge,Chopping.Weapons,City.Forage,City.Hunt,City.Stealth,Clayworking,Climb,Clothworking,Club.Making,Cooking,Crossbow.Use,Customcraft,Direction.Sense,Disarm,Dual.Wield,Dyeing,Feather.Working,Flee,Fletchery,Floristry,Forage,Guarding,Hack,Haggle,Hide.city,Hide.wilderness,Hitch.2.Mounts,Hunt.city,Hunt.wilderness,Instrument.Making,Jewelry.Making,Kick,Knife.Making,Learn.Languages.Perk,Learn.Ride.Faster,Leatherworking,Listen.city,Listen.wilderness,Lumberjacking,Mirukkium,Pain.Tolerance.Perk,Parry,Peek,Pick,Pick.Making,Piercing.Weapons,Pilot,Poisoning,Rescue,Ride,Riposte,Sap,Scan,Search,Shield.Use,Skinning,Slashing.Weapons,Sleight.of.Hand,Sling.Use,Sneak.city,Sneak.wilderness,Spear.Making,Steal,Stonecrafting,Subdue,Sword.Making,Tame.Mounts,Tanning,Tent.Making,Threaten,Throw,Tool.Making,Tribal.Accent,Two.Handed,Value,Wagon.Making,Watch,Wilderness.Forage,Wilderness.Hunt,Wilderness.Quit,Wilderness.Stealth,Woodworking
Adventurer Custom.Crafter,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,0,0,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,0,0,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Forester,Wilderness,Light mercantile,0,0,3,0,4,4,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,0,0,0,3,0,4,4,3,0,3,0,3,0,0,2,4,4,3,0,0,3,0,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,3,0,0,1,1,1,1,4
Adventurer Grebber,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,1,0,0,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,4,0,0,0,0,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,3,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Guard,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,0,0,0,3,0,0,4,3,0,3,0,3,0,0,3,4,4,3,4,0,0,0,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,3,0,0,0,2,4,0,3,3,0,0,3,3,3,4,0,0,0,0,3,4,0,0,2,0,1,4,4,0,0,4,0,3,0,0,3,1,1,1,1,0
Adventurer House.Servant,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,0,1,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,0,3,3,1,0,3,0,0,0,4,0,0,4,3,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,4,3,2,4,0,3,0,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,0,0,3,1,1,1,1,0
Adventurer Hunter,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,0,0,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,0,0,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Jeweler,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,0,0,0,3,0,0,4,3,0,3,0,3,0,3,2,4,4,3,0,0,3,0,3,1,0,3,0,4,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,3,0,0,1,4,4,0,0,4,0,3,3,0,0,1,1,1,1,0
Adventurer Lancer,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,3,0,0,1,3,0,2,4,4,0,0,0,0,0,0,0,3,0,0,4,3,0,3,3,3,0,0,2,4,4,3,0,0,0,0,3,1,0,3,0,0,3,4,0,0,4,0,0,4,0,0,2,0,0,0,3,4,0,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,0,3,0,1,4,4,3,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Linguist,Wilderness,Light mercantile,0,4,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,0,0,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,0,0,3,1,0,3,0,0,0,4,1,0,4,0,0,4,4,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Marksman,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,0,3,2,4,4,0,0,0,0,0,0,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,0,0,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,3,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Master.Chef,Wilderness,Light mercantile,1,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,1,0,0,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,4,0,0,3,0,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,3,0,0,1,1,1,1,0
Adventurer Master.Trader,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,4,0,0,0,0,0,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,4,0,3,1,0,3,0,0,0,4,0,0,4,4,4,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,4,0,0,1,1,1,1,0
Adventurer Mercenary,Wilderness,Light mercantile,1,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,0,0,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,0,0,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,0,0,3,1,1,1,1,0
Adventurer Mountaineer,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,0,0,0,4,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,0,0,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Nomad,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,4,1,0,0,2,4,4,0,0,0,0,0,0,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,3,0,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,4,0,0,3,3,2,4,0,0,0,0,3,4,0,0,0,0,1,4,4,0,0,4,4,3,0,0,0,1,1,1,1,0
Adventurer Outdoorsman,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,0,0,0,3,0,0,4,3,0,4,0,3,0,0,2,4,4,3,0,0,0,0,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,4,3,2,4,0,0,0,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Outlaw,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,1,1,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,0,0,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,0,4,4,0,0,0,0,1,4,4,0,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Physician,Wilderness,Light mercantile,0,0,3,0,4,0,0,4,4,0,0,0,1,0,0,2,4,4,0,0,0,0,0,0,3,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,0,0,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Pit.Fighter,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,3,0,0,1,3,0,2,4,4,0,0,0,0,0,0,0,3,0,0,4,3,0,3,3,3,0,0,2,4,4,3,0,0,0,0,3,1,0,3,0,0,3,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,3,0,0,0,3,4,0,0,3,0,1,4,4,3,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Poisoner,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,0,0,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,0,0,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,4,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Reaver,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,3,0,0,0,0,3,0,0,4,3,0,3,3,3,0,0,2,4,4,3,0,4,0,0,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,3,4,0,0,0,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Rogue,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,0,1,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,0,3,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,3,0,2,4,0,3,3,0,0,3,4,2,4,0,0,0,4,3,4,0,0,0,0,1,4,4,0,0,4,0,3,0,0,3,1,1,1,1,0
Adventurer Slipknife,Wilderness,Light mercantile,0,0,3,0,4,0,4,3,4,0,0,0,1,0,3,2,4,4,0,0,0,0,0,1,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,0,3,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,3,3,3,0,0,3,3,2,4,0,3,0,3,3,4,0,0,0,0,1,4,4,0,3,4,0,3,0,0,0,1,1,1,1,0
Adventurer Swordsman,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,0,0,0,3,0,0,4,3,0,3,3,3,0,0,2,4,4,3,0,0,0,0,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,3,0,0,0,2,4,0,3,3,3,0,3,3,2,4,3,0,0,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,0,0,3,1,1,1,1,0
Adventurer Tailors,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,0,0,0,3,4,0,4,3,0,3,0,3,3,0,2,4,4,3,0,0,3,0,3,1,0,3,0,3,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,3,0,0,1,1,1,1,0
Adventurer Thief,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,1,1,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,0,3,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,3,0,0,2,4,0,3,3,0,3,3,3,2,4,0,3,0,3,3,4,4,0,0,0,1,4,4,0,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Thug,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,3,0,0,1,0,0,2,4,4,0,0,0,0,0,0,0,3,0,0,4,3,0,3,0,3,0,0,3,4,4,3,0,0,0,0,3,1,0,3,0,0,4,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,3,3,3,2,4,0,0,0,0,3,4,0,0,3,0,1,4,4,3,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Touched.Drovian,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,3,0,2,4,4,0,0,0,0,0,1,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,0,3,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,3,3,3,0,0,3,3,2,4,0,0,0,2,3,4,0,0,0,0,1,4,4,0,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Touched.Elkros,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,3,0,0,1,0,0,2,4,4,0,0,0,0,0,0,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,0,0,3,1,0,3,0,0,3,4,0,0,4,0,0,4,0,1,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Touched.Rukkian,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,0,0,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,0,0,3,1,0,3,0,3,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,3,0,0,1,4,4,0,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Touched.Suk.Krathi,Wilderness,Light mercantile,0,3,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,0,0,3,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,0,0,3,1,0,3,0,0,0,4,1,0,4,0,0,4,3,1,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Touched.Vivaduan,Wilderness,Light mercantile,1,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,1,0,0,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,0,0,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,0,0,0,1,4,4,0,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Touched.Whiran,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,0,1,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,0,2,3,1,0,3,0,0,0,4,0,0,4,3,3,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,3,3,4,0,0,0,0,1,4,4,0,0,4,0,3,0,0,0,1,1,1,1,0
Adventurer Wastelander,Wilderness,Light mercantile,0,0,3,0,4,0,0,3,4,0,0,4,1,0,0,2,4,4,0,0,0,0,0,0,0,3,0,0,4,3,0,3,0,3,0,0,2,4,4,3,0,0,0,0,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,4,3,2,4,0,0,0,0,3,4,0,0,0,0,1,4,4,0,0,4,4,3,0,0,0,1,1,1,1,0
Adventurer Weaponscrafter,Wilderness,Light mercantile,0,0,3,0,4,4,0,3,4,0,0,0,1,0,0,2,4,4,0,0,0,0,0,0,0,3,0,4,4,3,0,3,0,3,0,0,2,4,4,3,0,0,3,0,3,1,0,3,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,2,4,0,3,3,0,0,3,3,2,4,0,0,0,0,3,4,0,0,0,4,1,4,4,0,0,4,0,3,3,0,0,1,1,1,1,0
Artisan Archer,City,Heavy mercantile,0,0,4,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,4,1,3,0,2,4,4,0,4,4,2,0,0,4,0,0,0,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,0,0,0,0,4
Artisan Armormaker,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,0,0,2,4,4,0,4,4,2,0,0,4,0,0,0,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,0,0,0,0,4
Artisan Bandit,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,3,0,0,0,0,4,3,4,4,4,2,1,3,0,2,4,4,0,4,4,2,0,0,4,0,4,1,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,4,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,4,0,4,4,3,0,4,0,2,4,4,0,0,0,1,1,4
Artisan Bard,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,0,0,2,4,4,0,4,4,2,0,0,4,0,0,0,0,0,4,4,0,4,1,0,4,3,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,4,0,2,0,0,3,0,0,0,4,3,4,0,4,0,4,4,0,0,4,0,2,4,4,3,0,0,0,0,4
Artisan Berserker,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,3,4,0,0,3,0,2,4,0,4,0,3,0,0,0,4,0,4,4,4,2,1,0,3,2,4,4,0,4,4,2,0,0,4,0,0,0,0,0,4,4,3,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,3,4,0,4,4,3,0,4,0,2,4,4,0,0,0,0,0,4
Artisan Bounty.Hunter,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,1,0,4,0,4,4,4,2,1,3,0,2,4,4,0,4,4,2,0,0,4,0,0,0,3,3,4,4,0,4,0,0,4,3,3,4,0,0,0,0,0,0,2,4,0,0,3,0,3,0,0,2,0,0,0,0,0,0,4,0,4,3,4,0,4,4,0,0,4,0,2,4,4,0,0,1,0,0,4
Artisan Bruiser,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,3,4,0,0,3,0,3,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,0,3,2,4,4,0,4,4,2,0,0,4,0,0,0,0,0,4,4,3,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,3,4,0,4,4,3,0,4,0,2,4,4,0,0,0,0,0,4
Artisan Caravan.Guide,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,4,0,0,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,3,0,2,4,4,0,4,4,2,0,0,4,0,0,1,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,3,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,0,0,1,0,4
Artisan Con.Artist,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,0,1,4,0,4,4,4,2,1,0,0,2,4,4,4,4,4,2,0,0,4,3,0,0,0,0,4,4,0,4,0,0,4,3,0,4,0,0,0,3,0,0,2,4,0,0,0,0,0,0,0,2,0,0,4,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,3,0,0,0,0,4
Artisan Crafter,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,0,0,2,4,4,0,4,4,3,0,0,4,0,0,0,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,0,0,0,0,4
