subclass,skill_group,skill,skill_level,skill_number,branches_from
Bruiser,Barter,Haggle,,0,
Bruiser,Barter,Value,,0,
Bruiser,Combat,Archery,,0,
Bruiser,Combat,Backstab,,0,
Bruiser,Combat,Bash,advanced,3,
Bruiser,Combat,Blind Fighting,advanced,3,
Bruiser,Combat,Blowgun Use,,0,
Bruiser,Combat,Charge,,0,
Bruiser,Combat,Crossbow Use,,0,
Bruiser,Combat,Disarm,advanced,3,
Bruiser,Combat,Dual Wield,,0,
Bruiser,Combat,Flee,,0,
Bruiser,Combat,Guarding,,0,
Bruiser,Combat,Hack,,0,
Bruiser,Combat,Kick,advanced,3,
Bruiser,Combat,Parry,,0,
Bruiser,Combat,Rescue,,0,
Bruiser,Combat,Riposte,,0,
Bruiser,Combat,Sap,,0,
Bruiser,Combat,Shield Use,,0,
Bruiser,Combat,Sling Use,,0,
Bruiser,Combat,Subdue,advanced,3,
Bruiser,Combat,Threaten,advanced,3,
Bruiser,Combat,Throw,,0,
Bruiser,Combat,Two Handed,,0,
Bruiser,Craft,Armor Making,,0,
Bruiser,Craft,Armor Repair,,0,
Bruiser,Craft,Axe Making,,0,
Bruiser,Craft,Bandage Making,,0,
Bruiser,Craft,Basketweaving,,0,
Bruiser,Craft,Bow Making,,0,
Bruiser,Craft,Brew,,0,
Bruiser,Craft,Clayworking,,0,
Bruiser,Craft,Clothworking,,0,
Bruiser,Craft,Club Making,,0,
Bruiser,Craft,Cooking,,0,
Bruiser,Craft,Dyeing,,0,
Bruiser,Craft,Feather Working,,0,
Bruiser,Craft,Fletchery,,0,
Bruiser,Craft,Floristry,,0,
Bruiser,Craft,Instrument Making,,0,
Bruiser,Craft,Jewelry Making,,0,
Bruiser,Craft,Knife Making,,0,
Bruiser,Craft,Leatherworking,,0,
Bruiser,Craft,Lumberjacking,,0,
Bruiser,Craft,Pick Making,,0,
Bruiser,Craft,Spear Making,,0,
Bruiser,Craft,Stonecrafting,,0,
Bruiser,Craft,Sword Making,,0,
Bruiser,Craft,Tanning,,0,
Bruiser,Craft,Tent Making,,0,
Bruiser,Craft,Tool Making,,0,
Bruiser,Craft,Wagon Making,,0,
Bruiser,Craft,Woodworking,,0,
Bruiser,Language,Allundean,,0,
Bruiser,Language,Bendune,,0,
Bruiser,Language,Cavilish,,0,
Bruiser,Language,Mirukkium,,0,
Bruiser,Language,Tribal Accent,,0,
Bruiser,Manipulation,Bandage,,0,
Bruiser,Manipulation,Pick,,0,
Bruiser,Manipulation,Pilot,,0,
Bruiser,Manipulation,Poisoning,,0,
Bruiser,Manipulation,Ride,,0,
Bruiser,Manipulation,Skinning,,0,
Bruiser,Manipulation,Sleight of Hand,,0,
Bruiser,Manipulation,Steal,,0,
Bruiser,Perception,Direction Sense,,0,
Bruiser,Perception,Forage,,0,
Bruiser,Perception,Hunt (city),,0,
Bruiser,Perception,Hunt (wilderness),,0,
Bruiser,Perception,Listen (city),,0,
Bruiser,Perception,Listen (wilderness),,0,
Bruiser,Perception,Peek,,0,
Bruiser,Perception,Scan,,0,
Bruiser,Perception,Search,,0,
Bruiser,Perception,Watch,,0,
Bruiser,Perk,Alcohol Tolerance Perk,,0,
Bruiser,Perk,Better Movement Regeneration,,0,
Bruiser,Perk,City Forage,,0,
Bruiser,Perk,City Hunt,,0,
Bruiser,Perk,City Stealth,,0,
Bruiser,Perk,Customcraft,,0,
Bruiser,Perk,Hitch 2 Mounts,,0,
Bruiser,Perk,Learn Languages Perk,,0,
Bruiser,Perk,Learn Ride Faster,,0,
Bruiser,Perk,Pain Tolerance Perk,,0,
Bruiser,Perk,Tame Mounts,,0,
Bruiser,Perk,Wilderness Forage,,0,
Bruiser,Perk,Wilderness Hunt,,0,
Bruiser,Perk,Wilderness Quit,,0,
Bruiser,Perk,Wilderness Stealth,,0,
Bruiser,Stealth,Climb,,0,
Bruiser,Stealth,Hide (city),,0,
Bruiser,Stealth,Hide (wilderness),,0,
Bruiser,Stealth,Sneak (city),,0,
Bruiser,Stealth,Sneak (wilderness),,0,
Bruiser,Weapon,Bludgeoning Weapons,advanced,3,
Bruiser,Weapon,Chopping Weapons,,0,
Bruiser,Weapon,Piercing Weapons,,0,
Bruiser,Weapon,Slashing Weapons,,0,
Lancer,Barter,Haggle,,0,
Lancer,Barter,Value,,0,
Lancer,Combat,Archery,,0,
Lancer,Combat,Backstab,,0,
Lancer,Combat,Bash,advanced,3,
Lancer,Combat,Blind Fighting,advanced,3,
Lancer,Combat,Blowgun Use,,0,
Lancer,Combat,Charge,,0,
Lancer,Combat,Crossbow Use,,0,
Lancer,Combat,Disarm,advanced,3,
Lancer,Combat,Dual Wield,,0,
Lancer,Combat,Flee,,0,
Lancer,Combat,Guarding,,0,
Lancer,Combat,Hack,,0,
Lancer,Combat,Kick,advanced,3,
Lancer,Combat,Parry,,0,
Lancer,Combat,Rescue,,0,
Lancer,Combat,Riposte,,0,
Lancer,Combat,Sap,,0,
Lancer,Combat,Shield Use,,0,
Lancer,Combat,Sling Use,,0,
Lancer,Combat,Subdue,advanced,3,
Lancer,Combat,Threaten,advanced,3,
Lancer,Combat,Throw,,0,
Lancer,Combat,Two Handed,,0,
Lancer,Craft,Armor Making,,0,
Lancer,Craft,Armor Repair,,0,
Lancer,Craft,Axe Making,,0,
Lancer,Craft,Bandage Making,,0,
Lancer,Craft,Basketweaving,,0,
Lancer,Craft,Bow Making,,0,
Lancer,Craft,Brew,,0,
Lancer,Craft,Clayworking,,0,
Lancer,Craft,Clothworking,,0,
Lancer,Craft,Club Making,,0,
Lancer,Craft,Cooking,,0,
Lancer,Craft,Dyeing,,0,
Lancer,Craft,Feather Working,,0,
Lancer,Craft,Fletchery,,0,
Lancer,Craft,Floristry,,0,
Lancer,Craft,Instrument Making,,0,
Lancer,Craft,Jewelry Making,,0,
Lancer,Craft,Knife Making,,0,
Lancer,Craft,Leatherworking,,0,
Lancer,Craft,Lumberjacking,,0,
Lancer,Craft,Pick Making,,0,
Lancer,Craft,Spear Making,,0,
Lancer,Craft,Stonecrafting,,0,
Lancer,Craft,Sword Making,,0,
Lancer,Craft,Tanning,,0,
Lancer,Craft,Tent Making,,0,
Lancer,Craft,Tool Making,,0,
Lancer,Craft,Wagon Making,,0,
Lancer,Craft,Woodworking,,0,
Lancer,Language,Allundean,,0,
Lancer,Language,Bendune,,0,
Lancer,Language,Cavilish,,0,
Lancer,Language,Mirukkium,,0,
Lancer,Language,Tribal Accent,,0,
Lancer,Manipulation,Bandage,,0,
Lancer,Manipulation,Pick,,0,
Lancer,Manipulation,Pilot,,0,
Lancer,Manipulation,Poisoning,,0,
Lancer,Manipulation,Ride,,0,
Lancer,Manipulation,Skinning,,0,
Lancer,Manipulation,Sleight of Hand,,0,
Lancer,Manipulation,Steal,,0,
Lancer,Perception,Direction Sense,,0,
Lancer,Perception,Forage,,0,
Lancer,Perception,Hunt (city),,0,
Lancer,Perception,Hunt (wilderness),,0,
Lancer,Perception,Listen (city),,0,
Lancer,Perception,Listen (wilderness),,0,
Lancer,Perception,Peek,,0,
Lancer,Perception,Scan,,0,
Lancer,Perception,Search,,0,
Lancer,Perception,Watch,,0,
Lancer,Perk,Alcohol Tolerance Perk,,0,
Lancer,Perk,Better Movement Regeneration,,0,
Lancer,Perk,City Forage,,0,
Lancer,Perk,City Hunt,,0,
Lancer,Perk,City Stealth,,0,
Lancer,Perk,Customcraft,,0,
Lancer,Perk,Hitch 2 Mounts,,0,
Lancer,Perk,Learn Languages Perk,,0,
Lancer,Perk,Learn Ride Faster,,0,
Lancer,Perk,Pain Tolerance Perk,,0,
Lancer,Perk,Tame Mounts,,0,
Lancer,Perk,Wilderness Forage,,0,
Lancer,Perk,Wilderness Hunt,,0,
Lancer,Perk,Wilderness Quit,,0,
Lancer,Perk,Wilderness Stealth,,0,
Lancer,Stealth,Climb,,0,
Lancer,Stealth,Hide (city),,0,
Lancer,Stealth,Hide (wilderness),,0,
Lancer,Stealth,Sneak (city),,0,
Lancer,Stealth,Sneak (wilderness),,0,
Lancer,Weapon,Bludgeoning Weapons,,0,
Lancer,Weapon,Chopping Weapons,,0,
Lancer,Weapon,Piercing Weapons,advanced,3,
Lancer,Weapon,Slashing Weapons,,0,
Pit.Fighter,Barter,Haggle,,0,
Pit.Fighter,Barter,Value,,0,
Pit.Fighter,Combat,Archery,,0,
Pit.Fighter,Combat,Backstab,,0,
Pit.Fighter,Combat,Bash,advanced,3,
Pit.Fighter,Combat,Blind Fighting,advanced,3,
Pit.Fighter,Combat,Blowgun Use,,0,
Pit.Fighter,Combat,Charge,,0,
Pit.Fighter,Combat,Crossbow Use,,0,
Pit.Fighter,Combat,Disarm,advanced,3,
Pit.Fighter,Combat,Dual Wield,,0,
Pit.Fighter,Combat,Flee,,0,
Pit.Fighter,Combat,Guarding,,0,
Pit.Fighter,Combat,Hack,,0,
Pit.Fighter,Combat,Kick,advanced,3,
Pit.Fighter,Combat,Parry,,0,
Pit.Fighter,Combat,Rescue,,0,
Pit.Fighter,Combat,Riposte,,0,
Pit.Fighter,Combat,Sap,,0,
Pit.Fighter,Combat,Shield Use,,0,
Pit.Fighter,Combat,Sling Use,,0,
Pit.Fighter,Combat,Subdue,advanced,3,
Pit.Fighter,Combat,Threaten,advanced,3,
Pit.Fighter,Combat,Throw,,0,
Pit.Fighter,Combat,Two Handed,,0,
Pit.Fighter,Craft,Armor Making,,0,
Pit.Fighter,Craft,Armor Repair,,0,
Pit.Fighter,Craft,Axe Making,,0,
Pit.Fighter,Craft,Bandage Making,,0,
Pit.Fighter,Craft,Basketweaving,,0,
Pit.Fighter,Craft,Bow Making,,0,
Pit.Fighter,Craft,Brew,,0,
Pit.Fighter,Craft,Clayworking,,0,
Pit.Fighter,Craft,Clothworking,,0,
Pit.Fighter,Craft,Club Making,,0,
Pit.Fighter,Craft,Cooking,,0,
Pit.Fighter,Craft,Dyeing,,0,
Pit.Fighter,Craft,Feather Working,,0,
Pit.Fighter,Craft,Fletchery,,0,
Pit.Fighter,Craft,Floristry,,0,
Pit.Fighter,Craft,Instrument Making,,0,
Pit.Fighter,Craft,Jewelry Making,,0,
Pit.Fighter,Craft,Knife Making,,0,
Pit.Fighter,Craft,Leatherworking,,0,
Pit.Fighter,Craft,Lumberjacking,,0,
Pit.Fighter,Craft,Pick Making,,0,
Pit.Fighter,Craft,Spear Making,,0,
Pit.Fighter,Craft,Stonecrafting,,0,
Pit.Fighter,Craft,Sword Making,,0,
Pit.Fighter,Craft,Tanning,,0,
Pit.Fighter,Craft,Tent Making,,0,
Pit.Fighter,Craft,Tool Making,,0,
Pit.Fighter,Craft,Wagon Making,,0,
Pit.Fighter,Craft,Woodworking,,0,
Pit.Fighter,Language,Allundean,,0,
Pit.Fighter,Language,Bendune,,0,
Pit.Fighter,Language,Cavilish,,0,
Pit.Fighter,Language,Mirukkium,,0,
Pit.Fighter,Language,Tribal Accent,,0,
Pit.Fighter,Manipulation,Bandage,,0,
Pit.Fighter,Manipulation,Pick,,0,
Pit.Fighter,Manipulation,Pilot,,0,
Pit.Fighter,Manipulation,Poisoning,,0,
Pit.Fighter,Manipulation,Ride,,0,
Pit.Fighter,Manipulation,Skinning,,0,
Pit.Fighter,Manipulation,Sleight of Hand,,0,
Pit.Fighter,Manipulation,Steal,,0,
Pit.Fighter,Perception,Direction Sense,,0,
Pit.Fighter,Perception,Forage,,0,
Pit.Fighter,Perception,Hunt (city),,0,
Pit.Fighter,Perception,Hunt (wilderness),,0,
Pit.Fighter,Perception,Listen (city),,0,
Pit.Fighter,Perception,Listen (wilderness),,0,
Pit.Fighter,Perception,Peek,,0,
Pit.Fighter,Perception,Scan,,0,
Pit.Fighter,Perception,Search,,0,
Pit.Fighter,Perception,Watch,,0,
Pit.Fighter,Perk,Alcohol Tolerance Perk,,0,
Pit.Fighter,Perk,Better Movement Regeneration,,0,
Pit.Fighter,Perk,City Forage,,0,
Pit.Fighter,Perk,City Hunt,,0,
Pit.Fighter,Perk,City Stealth,,0,
Pit.Fighter,Perk,Customcraft,,0,
Pit.Fighter,Perk,Hitch 2 Mounts,,0,
Pit.Fighter,Perk,Learn Languages Perk,,0,
Pit.Fighter,Perk,Learn Ride Faster,,0,
Pit.Fighter,Perk,Pain Tolerance Perk,,0,
Pit.Fighter,Perk,Tame Mounts,,0,
Pit.Fighter,Perk,Wilderness Forage,,0,
Pit.Fighter,Perk,Wilderness Hunt,,0,
Pit.Fighter,Perk,Wilderness Quit,,0,
Pit.Fighter,Perk,Wilderness Stealth,,0,
Pit.Fighter,Stealth,Climb,,0,
Pit.Fighter,Stealth,Hide (city),,0,
Pit.Fighter,Stealth,Hide (wilderness),,0,
Pit.Fighter,Stealth,Sneak (city),,0,
Pit.Fighter,Stealth,Sneak (wilderness),,0,
Pit.Fighter,Weapon,Bludgeoning Weapons,,0,
Pit.Fighter,Weapon,Chopping Weapons,,0,
Pit.Fighter,Weapon,Piercing Weapons,,0,
Pit.Fighter,Weapon,Slashing Weapons,advanced,3,
Reaver,Barter,Haggle,,0,
Reaver,Barter,Value,,0,
Reaver,Combat,Archery,,0,
Reaver,Combat,Backstab,,0,
Reaver,Combat,Bash,,0,
Reaver,Combat,Blind Fighting,,0,
Reaver,Combat,Blowgun Use,,0,
Reaver,Combat,Charge,,0,
Reaver,Combat,Crossbow Use,,0,
Reaver,Combat,Disarm,advanced,3,
Reaver,Combat,Dual Wield,,0,
Reaver,Combat,Flee,,0,
Reaver,Combat,Guarding,,0,
Reaver,Combat,Hack,master,4,
Reaver,Combat,Kick,,0,
Reaver,Combat,Parry,,0,
Reaver,Combat,Rescue,,0,
Reaver,Combat,Riposte,,0,
Reaver,Combat,Sap,,0,
Reaver,Combat,Shield Use,advanced,3,
Reaver,Combat,Sling Use,,0,
Reaver,Combat,Subdue,,0,
Reaver,Combat,Threaten,,0,
Reaver,Combat,Throw,,0,
Reaver,Combat,Two Handed,,0,
Reaver,Craft,Armor Making,,0,
Reaver,Craft,Armor Repair,master,4,
Reaver,Craft,Axe Making,,0,
Reaver,Craft,Bandage Making,,0,
Reaver,Craft,Basketweaving,,0,
Reaver,Craft,Bow Making,,0,
Reaver,Craft,Brew,,0,
Reaver,Craft,Clayworking,,0,
Reaver,Craft,Clothworking,,0,
Reaver,Craft,Club Making,,0,
Reaver,Craft,Cooking,,0,
Reaver,Craft,Dyeing,,0,
Reaver,Craft,Feather Working,,0,
Reaver,Craft,Fletchery,,0,
Reaver,Craft,Floristry,,0,
Reaver,Craft,Instrument Making,,0,
Reaver,Craft,Jewelry Making,,0,
Reaver,Craft,Knife Making,,0,
Reaver,Craft,Leatherworking,,0,
Reaver,Craft,Lumberjacking,,0,
Reaver,Craft,Pick Making,,0,
Reaver,Craft,Spear Making,,0,
Reaver,Craft,Stonecrafting,,0,
Reaver,Craft,Sword Making,,0,
Reaver,Craft,Tanning,,0,
Reaver,Craft,Tent Making,,0,
Reaver,Craft,Tool Making,,0,
Reaver,Craft,Wagon Making,,0,
Reaver,Craft,Woodworking,,0,
Reaver,Language,Allundean,,0,
Reaver,Language,Bendune,,0,
Reaver,Language,Cavilish,,0,
Reaver,Language,Mirukkium,,0,
Reaver,Language,Tribal Accent,,0,
Reaver,Manipulation,Bandage,,0,
Reaver,Manipulation,Pick,,0,
Reaver,Manipulation,Pilot,,0,
Reaver,Manipulation,Poisoning,,0,
Reaver,Manipulation,Ride,,0,
Reaver,Manipulation,Skinning,,0,
Reaver,Manipulation,Sleight of Hand,,0,
Reaver,Manipulation,Steal,,0,
Reaver,Perception,Direction Sense,,0,
Reaver,Perception,Forage,,0,
Reaver,Perception,Hunt (city),,0,
Reaver,Perception,Hunt (wilderness),,0,
Reaver,Perception,Listen (city),,0,
Reaver,Perception,Listen (wilderness),,0,
Reaver,Perception,Peek,,0,
Reaver,Perception,Scan,,0,
Reaver,Perception,Search,,0,
Reaver,Perception,Watch,,0,
Reaver,Perk,Alcohol Tolerance Perk,,0,
Reaver,Perk,Better Movement Regeneration,,0,
Reaver,Perk,City Forage,,0,
Reaver,Perk,City Hunt,,0,
Reaver,Perk,City Stealth,,0,
Reaver,Perk,Customcraft,,0,
Reaver,Perk,Hitch 2 Mounts,,0,
Reaver,Perk,Learn Languages Perk,,0,
Reaver,Perk,Learn Ride Faster,,0,
Reaver,Perk,Pain Tolerance Perk,,0,
Reaver,Perk,Tame Mounts,,0,
Reaver,Perk,Wilderness Forage,,0,
Reaver,Perk,Wilderness Hunt,,0,
Reaver,Perk,Wilderness Quit,,0,
Reaver,Perk,Wilderness Stealth,,0,
Reaver,Stealth,Climb,,0,
Reaver,Stealth,Hide (city),,0,
Reaver,Stealth,Hide (wilderness),,0,
Reaver,Stealth,Sneak (city),,0,
Reaver,Stealth,Sneak (wilderness),,0,
Reaver,Weapon,Bludgeoning Weapons,,0,
Reaver,Weapon,Chopping Weapons,advanced,3,
Reaver,Weapon,Piercing Weapons,,0,
Reaver,Weapon,Slashing Weapons,,0,
Swordsman,Barter,Haggle,,0,
Swordsman,Barter,Value,,0,
Swordsman,Combat,Archery,,0,
Swordsman,Combat,Backstab,,0,
Swordsman,Combat,Bash,,0,
Swordsman,Combat,Blind Fighting,,0,
Swordsman,Combat,Blowgun Use,,0,
Swordsman,Combat,Charge,,0,
Swordsman,Combat,Crossbow Use,,0,
Swordsman,Combat,Disarm,advanced,3,
Swordsman,Combat,Dual Wield,,0,
Swordsman,Combat,Flee,,0,
Swordsman,Combat,Guarding,,0,
Swordsman,Combat,Hack,,0,
Swordsman,Combat,Kick,,0,
Swordsman,Combat,Parry,advanced,3,
Swordsman,Combat,Rescue,,0,
Swordsman,Combat,Riposte,advanced,3,
Swordsman,Combat,Sap,,0,
Swordsman,Combat,Shield Use,,0,
Swordsman,Combat,Sling Use,,0,
Swordsman,Combat,Subdue,,0,
Swordsman,Combat,Threaten,,0,
Swordsman,Combat,Throw,,0,
Swordsman,Combat,Two Handed,advanced,3,
Swordsman,Craft,Armor Making,,0,
Swordsman,Craft,Armor Repair,,0,
Swordsman,Craft,Axe Making,,0,
Swordsman,Craft,Bandage Making,,0,
Swordsman,Craft,Basketweaving,,0,
Swordsman,Craft,Bow Making,,0,
Swordsman,Craft,Brew,,0,
Swordsman,Craft,Clayworking,,0,
Swordsman,Craft,Clothworking,,0,
Swordsman,Craft,Club Making,,0,
Swordsman,Craft,Cooking,,0,
Swordsman,Craft,Dyeing,,0,
Swordsman,Craft,Feather Working,,0,
Swordsman,Craft,Fletchery,,0,
Swordsman,Craft,Floristry,,0,
Swordsman,Craft,Instrument Making,,0,
Swordsman,Craft,Jewelry Making,,0,
Swordsman,Craft,Knife Making,,0,
Swordsman,Craft,Leatherworking,,0,
Swordsman,Craft,Lumberjacking,,0,
Swordsman,Craft,Pick Making,,0,
Swordsman,Craft,Spear Making,,0,
Swordsman,Craft,Stonecrafting,,0,
Swordsman,Craft,Sword Making,,0,
Swordsman,Craft,Tanning,,0,
Swordsman,Craft,Tent Making,,0,
Swordsman,Craft,Tool Making,,0,
Swordsman,Craft,Wagon Making,,0,
Swordsman,Craft,Woodworking,,0,
Swordsman,Language,Allundean,,0,
Swordsman,Language,Bendune,,0,
Swordsman,Language,Cavilish,,0,
Swordsman,Language,Mirukkium,,0,
Swordsman,Language,Tribal Accent,,0,
Swordsman,Manipulation,Bandage,,0,
Swordsman,Manipulation,Pick,,0,
Swordsman,Manipulation,Pilot,,0,
Swordsman,Manipulation,Poisoning,,0,
Swordsman,Manipulation,Ride,,0,
Swordsman,Manipulation,Skinning,,0,
Swordsman,Manipulation,Sleight of Hand,,0,
Swordsman,Manipulation,Steal,,0,
Swordsman,Perception,Direction Sense,,0,
Swordsman,Perception,Forage,,0,
Swordsman,Perception,Hunt (city),,0,
Swordsman,Perception,Hunt (wilderness),,0,
Swordsman,Perception,Listen (city),,0,
Swordsman,Perception,Listen (wilderness),,0,
Swordsman,Perception,Peek,,0,
Swordsman,Perception,Scan,,0,
Swordsman,Perception,Search,,0,
Swordsman,Perception,Watch,advanced,3,
Swordsman,Perk,Alcohol Tolerance Perk,,0,
Swordsman,Perk,Better Movement Regeneration,,0,
Swordsman,Perk,City Forage,,0,
Swordsman,Perk,City Hunt,,0,
Swordsman,Perk,City Stealth,,0,
Swordsman,Perk,Customcraft,,0,
Swordsman,Perk,Hitch 2 Mounts,,0,
Swordsman,Perk,Learn Languages Perk,,0,
Swordsman,Perk,Learn Ride Faster,,0,
Swordsman,Perk,Pain Tolerance Perk,,0,
Swordsman,Perk,Tame Mounts,,0,
Swordsman,Perk,Wilderness Forage,,0,
Swordsman,Perk,Wilderness Hunt,,0,
Swordsman,Perk,Wilderness Quit,,0,
Swordsman,Perk,Wilderness Stealth,,0,
Swordsman,Stealth,Climb,,0,
Swordsman,Stealth,Hide (city),,0,
Swordsman,Stealth,Hide (wilderness),,0,
Swordsman,Stealth,Sneak (city),,0,
Swordsman,Stealth,Sneak (wilderness),,0,
Swordsman,Weapon,Bludgeoning Weapons,,0,
Swordsman,Weapon,Chopping Weapons,,0,
Swordsman,Weapon,Piercing Weapons,,0,
Swordsman,Weapon,Slashing Weapons,advanced,3,
Archer,Barter,Haggle,,0,
Archer,Barter,Value,,0,
Archer,Combat,Archery,master,4,
Archer,Combat,Backstab,,0,
Archer,Combat,Bash,,0,
Archer,Combat,Blind Fighting,,0,
Archer,Combat,Blowgun Use,,0,
Archer,Combat,Charge,,0,
Archer,Combat,Crossbow Use,master,4,
Archer,Combat,Disarm,,0,
Archer,Combat,Dual Wield,,0,
Archer,Combat,Flee,,0,
Archer,Combat,Guarding,,0,
Archer,Combat,Hack,,0,
Archer,Combat,Kick,,0,
Archer,Combat,Parry,,0,
Archer,Combat,Rescue,,0,
Archer,Combat,Riposte,,0,
Archer,Combat,Sap,,0,
Archer,Combat,Shield Use,,0,
Archer,Combat,Sling Use,,0,
Archer,Combat,Subdue,,0,
Archer,Combat,Threaten,,0,
Archer,Combat,Throw,,0,
Archer,Combat,Two Handed,,0,
Archer,Craft,Armor Making,,0,
Archer,Craft,Armor Repair,,0,
Archer,Craft,Axe Making,,0,
Archer,Craft,Bandage Making,,0,
Archer,Craft,Basketweaving,,0,
Archer,Craft,Bow Making,advanced,3,
Archer,Craft,Brew,,0,
Archer,Craft,Clayworking,,0,
Archer,Craft,Clothworking,,0,
Archer,Craft,Club Making,,0,
Archer,Craft,Cooking,,0,
Archer,Craft,Dyeing,advanced,3,
Archer,Craft,Feather Working,advanced,3,
Archer,Craft,Fletchery,advanced,3,
Archer,Craft,Floristry,,0,
Archer,Craft,Instrument Making,,0,
Archer,Craft,Jewelry Making,,0,
Archer,Craft,Knife Making,,0,
Archer,Craft,Leatherworking,,0,
Archer,Craft,Lumberjacking,,0,
Archer,Craft,Pick Making,,0,
Archer,Craft,Spear Making,,0,
Archer,Craft,Stonecrafting,,0,
Archer,Craft,Sword Making,,0,
Archer,Craft,Tanning,,0,
Archer,Craft,Tent Making,,0,
Archer,Craft,Tool Making,,0,
Archer,Craft,Wagon Making,,0,
Archer,Craft,Woodworking,,0,
Archer,Language,Allundean,,0,
Archer,Language,Bendune,,0,
Archer,Language,Cavilish,,0,
Archer,Language,Mirukkium,,0,
Archer,Language,Tribal Accent,,0,
Archer,Manipulation,Bandage,,0,
Archer,Manipulation,Pick,,0,
Archer,Manipulation,Pilot,,0,
Archer,Manipulation,Poisoning,,0,
Archer,Manipulation,Ride,,0,
Archer,Manipulation,Skinning,,0,
Archer,Manipulation,Sleight of Hand,,0,
Archer,Manipulation,Steal,,0,
Archer,Perception,Direction Sense,advanced,3,
Archer,Perception,Forage,,0,
Archer,Perception,Hunt (city),,0,
Archer,Perception,Hunt (wilderness),,0,
Archer,Perception,Listen (city),,0,
